ASEAN,   ***   ,ASEAN  Association of Southeast Asian Nations,,,,
Chanuka,   ***   ,Hannukah,,,,
Chartum,   ***   ,Khartoum,,,,
Chihuahua,   ***   ,Chihuahua,,,,
Chile,   ***   ,Chile  Republic of Chile,,,,
Chiny,   ***   ,People's Republic of China  China,,,,
Chorwacja,   ***   ,Croatia  Republic of Croatia,,,,
Chrysophyta,   ***   ,chrysophyta,,,,
Cypr,   ***   ,Cyprus  Republic of Cyprus,,,,
Czad,   ***   ,Chad  Republic of Chad,,,,
Czarnogóra,   ***   ,Montenegro,,,,
Czechy,   ***   ,Czech Republic  Czechia,,,,
DDT,   ***   ,DDT  dichloro,diphenyl,trichloroethane,,
DNA,   ***   ,DNA  deoxyribonucleic acid,,,,
Dagestan,   ***   ,Dagestan,,,,
Dakar,   ***   ,Dakar,,,,
Dania,   ***   ,Denmark  Kingdom of Denmark,,,,
Delaware,   ***   ,Delaware,,,,
Dominika,   ***   ,Dominica  Commonwealth of Dominica,,,,
Dominikana,   ***   ,Dominican Republic,,,,
Dublin,   ***   ,Dublin,,,,
Dżakarta,   ***   ,Jakarta  Djakarta  DKI Jakarta,,,,
Dżibuti,   ***   ,Djibouti  Republic of Djibouti,,,,
Egipt,   ***   ,Egypt  Arab Republic of Egypt,,,,
Ekwador,   ***   ,Ecuador  Republic of Ecuador,,,,
Epifania,   ***   ,Epiphany,,,,
Erytrea,   ***   ,Eritrea,,,,
Erywań,   ***   ,Erevan  Yerevan,,,,
Estonia,   ***   ,Estonia  Republic of Estonia,,,,
Etiopia,   ***   ,Ethiopia  Federal Democratic Republic of Ethiopia,,,,
Euratom,   ***   ,Euratom,,,,
Europa,   ***   ,Europe,,,,
Falklandy,   ***   ,MalwinyFalkland Islands,,,,
Fidżi,   ***   ,Fiji  Republic of the Fiji Islands,,,,
Filadelfia,   ***   ,Philadelphia,,,,
Filipiny,   ***   ,Philippines,,,,
Finlandia,   ***   ,Finland  Republic of Finland,,,,
Flandria,   ***   ,Flanders  Flemish region,,,,
Flevoland,   ***   ,Flevoland,,,,
Fobos,   ***   ,Phobos,,,,
Francja,   ***   ,France,,,,
Fuji,   ***   ,Mount Fuji,,,,
Gabon,   ***   ,Gabon  Gabonese Republic,,,,
Gaborone,   ***   ,Gaborone,,,,
Gambia,   ***   ,Gambia  Gambia  Gambia  Gambia  The Gambia  Republic of The Gambia,,,,
Georgia,   ***   ,Georgia,,,,
Ghana,   ***   ,Ghana  Republic of Ghana,,,,
Gibraltar,   ***   ,Gibraltar,,,,
Grecja,   ***   ,Greece  Hellenic Republic,,,,
Grenada,   ***   ,Grenada,,,,
Grenlandia,   ***   ,Greenland,,,,
Gruzja,   ***   ,Georgia,,,,
Guam,   ***   ,Guam  Guam  Guam,,,,
Gujana,   ***   ,Guyana  Republic of Guyana,,,,
Gwadelupa,   ***   ,Guadeloupe,,,,
Gwatemala,   ***   ,Guatemala  Republic of Guatemala,,,,
Gwinea,   ***   ,Guinea  Republic of Guinea,,,,
H5N1,   ***   ,H5N1  Influenza A virus subtype H5N1  A(H5N1),,,,
Haga,   ***   ,The Hague,,,,
Haiti,   ***   ,Haiti  Republic of Haiti,,,,
Hanower,   ***   ,Hanover,,,,
Herkules,   ***   ,Hercules,,,,
Herkules,   ***   ,HeraklesHercules,,,,
Hiszpania,   ***   ,Spain,,,,
Honduras,   ***   ,Honduras  Republic of Honduras,,,,
Ido,   ***   ,idoIdo  Ido,,,,
Iliada,   ***   ,Iliad,,,,
Indie,   ***   ,India  Republic of India,,,,
Indonezja,   ***   ,Indonesia  Republic of Indonesia,,,,
Indre,   ***   ,Indre,,,,
Internet,   ***   ,Internet,,,,
Irak,   ***   ,Iraq  Republic of Iraq,,,,
Iran,   ***   ,Iran  Islamic Republic of Iran,,,,
Irlandia,   ***   ,Ireland  Republic of Ireland,,,,
Islandia,   ***   ,Iceland  Republic of Iceland,,,,
Izrael,   ***   ,Israel  State of Israel,,,,
Jamajka,   ***   ,Jamaica,,,,
Japonia,   ***   ,Japan  State of Japan,,,,
Jemen,   ***   ,Yemen  Republic of Yemen,,,,
Jersey,   ***   ,Jersey  Bailiwick of Jersey,,,,
Jordania,   ***   ,Jordan  Hashemite Kingdom of Jordan,,,,
Jowisz,   ***   ,Jupiter,,,,
Jugosławia,   ***   ,Yugoslavia,,,,
Kair,   ***   ,Cairo,,,,
Kajmany,   ***   ,Cayman Islands,,,,
Kalifornia,   ***   ,California,,,,
Kambodża,   ***   ,Cambodia  Kingdom of Cambodia,,,,
Kamerun,   ***   ,Cameroon  Republic of Cameroon,,,,
Kanada,   ***   ,Canada,,,,
Katar,   ***   ,Qatar,,,,
Kazachstan,   ***   ,Kazakhstan  Republic of Kazakhstan,,,,
Kenia,   ***   ,Kenya  Republic of Kenya,,,,
Kioto,   ***   ,Kyoto,,,,
Kirgistan,   ***   ,Kyrgyzstan  Kyrgyz Republic,,,,
Kiribati,   ***   ,Kiribati  Republic of Kiribati,,,,
Kolonia,   ***   ,Cologne,,,,
Kolumbia,   ***   ,Colombia  Republic of Colombia,,,,
Komory,   ***   ,Comoros  Union of the Comoros,,,,
Kopenhaga,   ***   ,Copenhagen,,,,
Korfu,   ***   ,Corfu,,,,
Kostaryka,   ***   ,Costa Rica  Republic of Costa Rica,,,,
Kraków,   ***   ,Krakow  Cracow,,,,
Księżyc,   ***   ,moon  Luna  Moon,,,,
Kuba,   ***   ,Cuba  Republic of Cuba,,,,
Kuwejt,   ***   ,Kuwait  State of Kuwait,,,,
Lagos,   ***   ,Lagos,,,,
Laos,   ***   ,Laos  Lao People's Democratic Republic,,,,
Lesotho,   ***   ,Lesotho  Kingdom of Lesotho,,,,
Lew,   ***   ,Leo,,,,
Liban,   ***   ,Lebanon  Lebanese Republic,,,,
Liberia,   ***   ,Liberia  Republic of Liberia,,,,
Libia,   ***   ,Libya  Great Socialist People's Libyan Arab Jamahiriya,,,,
Liechtenstein,   ***   ,Liechtenstein  Principality of Liechtenstein,,,,
Litografia,   ***   ,lithography,,,,
Litwa,   ***   ,Lithuania  Republic of Lithuania,,,,
Lizbona,   ***   ,Lisbon,,,,
Londyn,   ***   ,London,,,,
Lozanna,   ***   ,Lausanne,,,,
Luksemburg,   ***   ,Luxembourg  Grand Duchy of Luxembourg,,,,
Macedonia,   ***   ,Macedonia  Republic of Macedonia,,,,
Madagaskar,   ***   ,Madagascar  Republic of Madagascar,,,,
Majotta,   ***   ,Mayotte,,,,
Malediwy,   ***   ,Maldives  Republic of the Maldives,,,,
Malezja,   ***   ,Malaysia,,,,
Mali,   ***   ,Mali  Republic of Mali,,,,
Malta,   ***   ,Malta  Republic of Malta,,,,
Malávi,   ***   ,MalawiMalawi  Republic of Malaŵi,,,,
Marathi,   ***   ,marathiMarathi  Marāthi  Marāthi  MarÄthi,,,,
Maroko,   ***   ,Morocco  Kingdom of Morocco,,,,
Martynika,   ***   ,Martinique,,,,
Mauretania,   ***   ,Mauritania  Islamic Republic of Mauritania,,,,
Mauritius,   ***   ,Mauritius  Republic of Mauritius,,,,
Mediolan,   ***   ,Milan,,,,
Mekka,   ***   ,Mecca,,,,
Meksyk,   ***   ,Mexico  United Mexican States,,,,
Merkury,   ***   ,Mercury,,,,
Mikronezja,   ***   ,Micronesia  Federated States of Micronesia,,,,
Monachium,   ***   ,Munich,,,,
Monako,   ***   ,Monaco,,,,
Mongolia,   ***   ,Mongolia,,,,
Montserrat,   ***   ,Montserrat,,,,
Morze Śródziemne,   ***   ,Mediterranean Sea,,,,
Moskwa,   ***   ,Moscow,,,,
Mozambik,   ***   ,Mozambique,,,,
Mołdawia,   ***   ,Moldova,,,,
Mumbaj,   ***   ,Mumbai  Bombay,,,,
Myanmar,   ***   ,Myanmar,,,,
NOEL,   ***   ,NOEL,,,,
Nairobi,   ***   ,Nairobi,,,,
Namibia,   ***   ,Namibia,,,,
Nauru,   ***   ,Nauru  Republic of Nauru,,,,
Neapol,   ***   ,Naples,,,,
Nepal,   ***   ,Nepal,,,,
Neptun,   ***   ,Neptune,,,,
Niderlandy,   ***   ,Holland  Kingdom of the Netherlands  The Netherlands,,,,
Niemcy,   ***   ,Germany  Federal Republic of Germany,,,,
Niger,   ***   ,Niger,,,,
Nigeria,   ***   ,Nigeria,,,,
Nikaragua,   ***   ,Nicaragua,,,,
Niue,   ***   ,Niue,,,,
Norwegia,   ***   ,Norway  Kingdom of Norway,,,,
Nuuk,   ***   ,Nuuk,,,,
Nynorsk,   ***   ,Nynorsk,,,,
OOŚ,   ***   ,EIA (local),,,,
Oceania,   ***   ,Oceania,,,,
Oman,   ***   ,Oman  Sultanate of Oman,,,,
Orlean,   ***   ,Orleans,,,,
Orzeł,   ***   ,Aquila,,,,
Oslo,   ***   ,Oslo,,,,
Pakistan,   ***   ,Pakistan  Islamic Republic of Pakistan,,,,
Palau,   ***   ,Palau,,,,
Panama,   ***   ,Panama,,,,
Papua,   ***   ,Nowa Gwinea,Papua New Guinea,,,
Paragwaj,   ***   ,Paraguay,,,,
Paryż,   ***   ,Paris,,,,
Pekin,   ***   ,Beijing,,,,
Peru,   ***   ,Peru  Republic of Peru,,,,
Pireneje,   ***   ,Pyrenees,,,,
Polska,   ***   ,Poland,,,,
Portoryko,   ***   ,Puerto Rico,,,,
Portugalia,   ***   ,Portugal,,,,
Republika Środkowoafrykańska,   ***   ,Central African Republic,,,,
Rodan,   ***   ,Rhône,,,,
Rosja,   ***   ,Russia  Russian Federation,,,,
Rumunia,   ***   ,Romania,,,,
Rzym,   ***   ,Rome,,,,
Sachalin,   ***   ,Sakhalin  Saghalien,,,,
Saint,   ***   ,Pierre i Miquelon,Saint,Pierre and Miquelon,,
Salwador,   ***   ,El Salvador  Republic of El Salvador,,,,
Samoa,   ***   ,Samoa,,,,
Saturn,   ***   ,Saturn,,,,
Sekwana,   ***   ,Seine,,,,
Senegal,   ***   ,Senegal,,,,
Serbia,   ***   ,Serbia,,,,
Seszele,   ***   ,Seychelles  Republic of Seychelles,,,,
Singapur,   ***   ,Singapore,,,,
Soczi,   ***   ,Sochi,,,,
Sudan,   ***   ,Sudan,,,,
Surinam,   ***   ,Suriname,,,,
Syria,   ***   ,Syria  Syrian Arab Republic,,,,
Szkocja,   ***   ,Scotland,,,,
Szwajcaria,   ***   ,Switzerland,,,,
Szwecja,   ***   ,Sweden,,,,
Słowacja,   ***   ,Slovakia,,,,
Słowenia,   ***   ,Slovenia,,,,
Tadżykistan,   ***   ,Tajikistan,,,,
Tajlandia,   ***   ,Thailand,,,,
Tajwan,   ***   ,Taiwan,,,,
Tanzania,   ***   ,Tanzania,,,,
Teheran,   ***   ,Tehran,,,,
Tennessee,   ***   ,Tennessee,,,,
Togo,   ***   ,Togo,,,,
Tokio,   ***   ,Tokyo,,,,
Tonga,   ***   ,Tonga,,,,
Tunezja,   ***   ,Tunisia,,,,
Turcja,   ***   ,Turkey,,,,
Turkmenistan,   ***   ,Turkmenistan,,,,
Turyngia,   ***   ,Thuringia,,,,
Uganda,   ***   ,Uganda  Republic of Uganda,,,,
Ukraina,   ***   ,Ukraine,,,,
Uran,   ***   ,Uranus,,,,
Utah,   ***   ,Utah,,,,
Vaduz,   ***   ,Vaduz,,,,
Waga,   ***   ,Libra,,,,
Walia,   ***   ,Wales,,,,
Waszyngton,   ***   ,Washington,,,,
Watykan,   ***   ,Vatican City  The Holy See  State of the Vatican City,,,,
Wenecja,   ***   ,Venice,,,,
Wenezuela,   ***   ,Venezuela,,,,
Wenus,   ***   ,Venus,,,,
Wesołych Świąt,   ***   ,Merry Christmas,,,,
Wiedeń,   ***   ,Vienna,,,,
Wielkanoc,   ***   ,Easter,,,,
Wikipedia,   ***   ,Wikipedia,,,,
Wikisłownik,   ***   ,Wiktionary,,,,
Wodnik,   ***   ,Aquarius,,,,
Wolarz,   ***   ,Boötes,,,,
Wołga,   ***   ,Volga,,,,
Wyoming,   ***   ,Wyoming,,,,
Węgry,   ***   ,Hungary  Republic of Hungary,,,,
Włochy,   ***   ,Italian Republic  Italy,,,,
Zambia,   ***   ,Zambia  Republic of Zambia,,,,
Zanzibar,   ***   ,Zanzibar,,,,
Ziemia,   ***   ,earth  Earth  the world  Blue Planet,,,,
Zimbabwe,   ***   ,Zimbabwe  Republic of Zimbabwe,,,,
abolicjonista,   ***   ,abolitionist,,,,
absolutnie,   ***   ,absolutely,,,,
absorpcja,   ***   ,absorption,,,,
administracja,   ***   ,administration  direction  management,,,,
adopcja,   ***   ,adoption,,,,
adsorbcja,   ***   ,adsorption,,,,
aerosol,   ***   ,atmospheric aerosol,,,,
aerosol,   ***   ,aerosol,,,,
aforyzm,   ***   ,aphorism,,,,
afrykanerski,   ***   ,Afrikaans,,,,
agorafobia,   ***   ,agoraphobia  agoraphobia  agoraphobia  agoraphobia,,,,
agresywny,   ***   ,aggressive,,,,
agrobiotechnologia,   ***   ,agricultural biotechnology,,,,
agrochemia,   ***   ,agrochemical,,,,
agronomia,   ***   ,agronomy,,,,
agrotechnika,   ***   ,farming technique,,,,
agroturystyka,   ***   ,agritourism,,,,
akceptacja,   ***   ,assent,,,,
akceptować,   ***   ,assent,,,,
akordeon,   ***   ,accordion  squeeze box  piano accordion,,,,
aksjomat,   ***   ,axiom,,,,
akt,   ***   ,act  deed,,,,
aktyn,   ***   ,actinium,,,,
aktynowce,   ***   ,actinide,,,,
aktywista,   ***   ,activist,,,,
aktywność sejsmiczna,   ***   ,seismic activity,,,,
akumulator,   ***   ,accumulator,,,,
akustyka,   ***   ,acoustics,,,,
akwakultura,   ***   ,aquaculture,,,,
akwamaryn,   ***   ,aquamarine,,,,
akwarium,   ***   ,aquarium,,,,
akwedukt,   ***   ,aqueduct,,,,
alarm,   ***   ,alarm  alert  warning,,,,
albinizm,   ***   ,albinism,,,,
albo,   ***   ,or,,,,
alchemia,   ***   ,alchemy,,,,
alchemik,   ***   ,alchemist,,,,
alegoria,   ***   ,allegory,,,,
alergen,   ***   ,allergen,,,,
alergia,   ***   ,allergy,,,,
alfabet,   ***   ,alphabet,,,,
algebra,   ***   ,algebra,,,,
algorytm,   ***   ,algorithm,,,,
alibi,   ***   ,alibi,,,,
alkany,   ***   ,alkane  paraffin  methane series  alkane series,,,,
alkohole,   ***   ,alcohol,,,,
alkoholizm,   ***   ,alcoholism,,,,
almanach,   ***   ,almanac,,,,
alotropia,   ***   ,allotropy,,,,
aluminium,   ***   ,aluminium,,,,
amalgamat,   ***   ,amalgam,,,,
ambasador,   ***   ,ambassador,,,,
ambitny,   ***   ,ambitious,,,,
ambulans,   ***   ,ambulance,,,,
ameryk,   ***   ,americium,,,,
ametyst,   ***   ,amethyst,,,,
amfetamina,   ***   ,amphetamine,,,,
amfiteatr,   ***   ,amphitheatre,,,,
aminokwasy,   ***   ,amino acid,,,,
aminy,   ***   ,amine,,,,
amon,   ***   ,ammonium,,,,
amoniak,   ***   ,ammonia,,,,
amonifikacja,   ***   ,ammonification,,,,
amplituda,   ***   ,aAmplitude  amplitude,,,,
anagram,   ***   ,anagram,,,,
anakonda,   ***   ,anaconda,,,,
analfabeta,   ***   ,illiterate,,,,
analiza,   ***   ,analysis,,,,
analiza środowiska,   ***   ,environmental analysis,,,,
analogia,   ***   ,analogy,,,,
analogiczny,   ***   ,analogous,,,,
anarchia,   ***   ,anarchy,,,,
anarchizm,   ***   ,anarchism,,,,
anatomia,   ***   ,anatomy,,,,
angielski,   ***   ,English,,,,
anion,   ***   ,anion,,,,
anioł,   ***   ,angel,,,,
antagonizm,   ***   ,antagonism,,,,
antena,   ***   ,aerial,,,,
antonim,   ***   ,antonym,,,,
antropolog,   ***   ,anthropologist,,,,
antropologia,   ***   ,anthropology,,,,
antybiotyk,   ***   ,antibiotic,,,,
antycząstka,   ***   ,antiparticle,,,,
antylopa,   ***   ,antelope,,,,
antymon,   ***   ,antimony,,,,
antyteza,   ***   ,antithesis,,,,
apartamentowiec,   ***   ,apartment block,,,,
apartheid,   ***   ,apartheid,,,,
apatia,   ***   ,apathy,,,,
apelacja,   ***   ,appeal,,,,
apoptoza,   ***   ,apoptosis,,,,
apostoł,   ***   ,apostle,,,,
aprobata,   ***   ,approval  approbation,,,,
apteka,   ***   ,chemist's  chemist's shop  pharmacy,,,,
aptekarz,   ***   ,chemist  pharmacist,,,,
arabski,   ***   ,Arabic  Standard Arabic,,,,
aragoński,   ***   ,Aragonese  Aragonese,,,,
arboretum,   ***   ,arboretum,,,,
archeolog,   ***   ,archeologist  archaeologist,,,,
archeologia,   ***   ,archaeology  archeology  archæology,,,,
archeologiczny,   ***   ,archaeological,,,,
archetyp,   ***   ,archetype,,,,
archipelag,   ***   ,archipelago,,,,
architekt,   ***   ,architect,,,,
architektura,   ***   ,architecture,,,,
archiwum,   ***   ,archive,,,,
arcybiskup,   ***   ,archbishop,,,,
arcyksiążę,   ***   ,archduke,,,,
argon,   ***   ,argon,,,,
armatura,   ***   ,fitting (plumbing)  fitting  plumbing equipment  plumbing fixtures,,,,
armeński,   ***   ,Armenian,,,,
arsen,   ***   ,arsenic,,,,
artretyzm,   ***   ,arthritis,,,,
artykuł spożywczy,   ***   ,foodstuff,,,,
arystokracja,   ***   ,aristocracy,,,,
arytmetyka,   ***   ,arithmetic  arithmetics,,,,
asamski,   ***   ,Assamese  Assamese,,,,
asceta,   ***   ,ascetic,,,,
asfalt,   ***   ,asphalt,,,,
asparagus,   ***   ,asparagus,,,,
aspiracja,   ***   ,aspiration,,,,
aspiryna,   ***   ,aspirin,,,,
astat,   ***   ,astatine,,,,
astenosfera,   ***   ,asthenosphere,,,,
asteroida,   ***   ,asteroid,,,,
astma,   ***   ,asthma,,,,
astrolog,   ***   ,astrologer,,,,
astrologia,   ***   ,astrology  star divination,,,,
astrometria,   ***   ,astrometry,,,,
astronom,   ***   ,astronomer,,,,
astronomia,   ***   ,astronomy,,,,
asturyjski,   ***   ,Astur,Leonese  Asturian  Asturian,Leonese  Astur,,
asymetryczny,   ***   ,asymmetric  asymmetrical,,,,
asymilacja,   ***   ,assimilation,,,,
asymptota,   ***   ,asymptote,,,,
asystować,   ***   ,assist,,,,
atak,   ***   ,attack,,,,
ateista,   ***   ,atheist,,,,
atlas,   ***   ,atlas,,,,
atmosfera,   ***   ,atmosphere,,,,
atol,   ***   ,atoll,,,,
atom,   ***   ,atom,,,,
atrakcyjny,   ***   ,atractive,,,,
atrament,   ***   ,ink,,,,
atrazyna,   ***   ,atrazine,,,,
atrybut,   ***   ,attribute,,,,
audyt,   ***   ,audit,,,,
aukcja,   ***   ,auction,,,,
autobus,   ***   ,bus  coach,,,,
autoekologia,   ***   ,autoecology,,,,
autokracja,   ***   ,autocracy,,,,
autorstwo,   ***   ,authorship,,,,
autostrada,   ***   ,motorway  pike  expressway  freeway  state highway  superhighway  throughway  thruway,,,,
autostrada,   ***   ,highway,,,,
awantura,   ***   ,argument,,,,
awaria,   ***   ,accident,,,,
awifauna,   ***   ,avifauna,,,,
azbest,   ***   ,asbestos,,,,
azbestocement,   ***   ,asbestos cement,,,,
azbestoza,   ***   ,asbestosis,,,,
azerski,   ***   ,Azerbaijani  Azeri  Azerbaijani Cluster,,,,
azot,   ***   ,nitrogen,,,,
azotan,   ***   ,nitrate,,,,
badanie środowiska,   ***   ,environmental research,,,,
badminton,   ***   ,badminton,,,,
bagno,   ***   ,bog,,,,
bagno,   ***   ,marsh,,,,
bakteria,   ***   ,bacterium,,,,
bakteriocyd,   ***   ,bactericide,,,,
bakteriologia,   ***   ,bacteriology,,,,
ballada,   ***   ,ballad,,,,
banan,   ***   ,banana,,,,
bar,   ***   ,barium,,,,
barometr,   ***   ,barometer,,,,
baron,   ***   ,baron,,,,
barwnik,   ***   ,dye,,,,
baseball,   ***   ,baseball  baseball game,,,,
basen,   ***   ,swimming pool,,,,
baskijski,   ***   ,Basque  Basque,,,,
bateria,   ***   ,battery,,,,
bateryjka,   ***   ,button,cell battery,,,
bawełna,   ***   ,cotton,,,,
bażant,   ***   ,pheasant,,,,
beatyfikacja,   ***   ,beatification,,,,
behawioryzm,   ***   ,behavioural science,,,,
bekon,   ***   ,bacon,,,,
bengalski,   ***   ,Bengali  Bengali,,,,
bentos,   ***   ,benthos,,,,
benzen,   ***   ,benzene,,,,
benzopiren,   ***   ,benzopyrene,,,,
benzyna,   ***   ,petrol,,,,
berkel,   ***   ,berkelium,,,,
beryl,   ***   ,beryllium  glucinium,,,,
beton,   ***   ,concrete,,,,
bez,   ***   ,elder  elderberry,,,,
bezkręgowce,   ***   ,invertebrate,,,,
bezpieczeństwo,   ***   ,safety  security,,,,
bezpośrednie źródło ścieków,   ***   ,direct discharger,,,,
bezprawie,   ***   ,wrongful act,,,,
bezrobocie,   ***   ,unemployment,,,,
białaczka,   ***   ,leukaemia,,,,
białoruski,   ***   ,Belarusan  Belarusan  Belarusian  Belorussian  Byelorussian,,,,
biały,   ***   ,white,,,,
bibliografia,   ***   ,bibliography,,,,
biblioteka,   ***   ,library,,,,
bibliotekarz,   ***   ,librarian,,,,
biegunka,   ***   ,diarrhea,,,,
bilateralny,   ***   ,bilateral,,,,
bioakumulacja,   ***   ,bioaccumulation,,,,
biocenoza,   ***   ,biocoenosis,,,,
biocenoza,   ***   ,ecological community,,,,
biochemia,   ***   ,biochemistry,,,,
biocydy,   ***   ,biocide,,,,
biofizyka,   ***   ,biophysics,,,,
biogaz,   ***   ,biogas,,,,
biogaz,   ***   ,landfill gas,,,,
biogeografia,   ***   ,biogeography,,,,
bioinżynieria,   ***   ,biological engineering,,,,
bioklimatologia,   ***   ,bioclimatology,,,,
biologia,   ***   ,biology  biological science,,,,
bioluminescencja,   ***   ,bioluminescence,,,,
biom,   ***   ,biome,,,,
biomarker,   ***   ,biomarker,,,,
biomasa,   ***   ,biomass,,,,
biopaliwo,   ***   ,biofuel,,,,
bioreaktor,   ***   ,bioreactor,,,,
biorytm,   ***   ,biorhythm,,,,
biosfera,   ***   ,biosphere,,,,
biosynteza,   ***   ,biosynthesis,,,,
biotechnologia,   ***   ,biotechnology,,,,
biotop,   ***   ,biotope,,,,
birmański,   ***   ,Burmese,,,,
biskup,   ***   ,bishop,,,,
bituminy,   ***   ,bitumen,,,,
biurokracja,   ***   ,bureaucracy,,,,
biurokratyzacja,   ***   ,bureaucratisation,,,,
bizmut,   ***   ,bismuth,,,,
blizniak,   ***   ,twin,,,,
blog,   ***   ,blog  weblog  web log,,,,
bocian,   ***   ,stork,,,,
bohr,   ***   ,bohrium,,,,
bokmål,   ***   ,Bokmål,,,,
bonsai,   ***   ,bonsai,,,,
bor,   ***   ,boron,,,,
botanika,   ***   ,botany  phytology,,,,
botanika,   ***   ,botany,,,,
bośniacki,   ***   ,Bosnian  Bosnian,,,,
branża,   ***   ,branch of activity,,,,
bretoński,   ***   ,Breton  Breton,,,,
brew,   ***   ,eyebrow,,,,
brokuł,   ***   ,broccoli,,,,
brom,   ***   ,bromine,,,,
broń,   ***   ,weapon,,,,
broń biologiczna,   ***   ,biological weapon,,,,
broń chemiczna,   ***   ,chemical weapon,,,,
broń jądrowa,   ***   ,nuclear weapon,,,,
brzeg,   ***   ,border,,,,
brzeg,   ***   ,bank,,,,
brzemienność,   ***   ,pregnancy,,,,
budowla,   ***   ,built structure,,,,
budynek,   ***   ,building,,,,
budzik,   ***   ,alarm clock,,,,
budżet,   ***   ,budget,,,,
bursztyn,   ***   ,amber,,,,
burza,   ***   ,thunderstorm,,,,
burza,   ***   ,storm  tempest,,,,
but,   ***   ,shoe,,,,
bułgarski,   ***   ,Bulgarian  Bulgarian,,,,
bydło,   ***   ,cattle,,,,
byk,   ***   ,bull,,,,
bóbr,   ***   ,beaver,,,,
błonkówki,   ***   ,hymenopteran,,,,
cebula,   ***   ,onion,,,,
cegła,   ***   ,brick,,,,
celibat,   ***   ,celibacy,,,,
celuloza,   ***   ,cellulose,,,,
cement,   ***   ,cement,,,,
cementownia,   ***   ,cement manufacture,,,,
cena,   ***   ,price,,,,
cenny,   ***   ,valuable,,,,
centralizacja,   ***   ,centralisation,,,,
cer,   ***   ,cerium,,,,
ceramika,   ***   ,ceramics,,,,
certyfikacja,   ***   ,certification,,,,
cez,   ***   ,caesium,,,,
charakterystyczny,   ***   ,characteristic,,,,
chciwy,   ***   ,avaricious,,,,
chemia,   ***   ,chemistry,,,,
chemia środowiska,   ***   ,environmental chemistry,,,,
chemikalia,   ***   ,chemical,,,,
chihuahua,   ***   ,Chihuahua  chihuahua,,,,
chirurg,   ***   ,surgeon,,,,
chirurgia,   ***   ,surgery,,,,
chiński,   ***   ,Chinese,,,,
chiński,   ***   ,standardowy mandaryńskimandarin  Mandarin  Standard Mandarin,,,,
